City Name,State,Population,lat,lng
King Salmon,Alaska,30,58.753,-156.5061
Nelson Lagoon,Alaska,60,55.8451,-161.6103
Igiugig,Alaska,100,59.3056,-155.8739
Nunapitchuk,Alaska,496,60.8772,-162.4615
Chignik Lake,Alaska,200,56.2631,-158.8049
Seattle,Alaska,1400,60.0674943,-139.1892223
Dillingham,Alaska,31,59.055,-158.5378
King Salmon,Alaska,80,58.753,-156.5061
False Pass,Alaska,393,54.8416,-163.348
Egegik,Alaska,485,58.2181,-157.4036
Manokotak,Alaska,215,58.893,-158.9109
Dutch Harbor,Alaska,535,53.8867533,-166.5418
Dillingham,Alaska,120,59.055,-158.5378
Kokhanok,Alaska,189,59.4158,-154.7457
Dillingham,Alaska,31,59.055,-158.5378
King Salmon,Alaska,61,58.753,-156.5061
Mountain Village,Alaska,850,62.0911,-163.7209
Bethel,Alaska,340,60.7928,-161.7917
Saint Marys,Alaska,548,,
Scammon Bay,Alaska,637,61.842,-165.5833
Nunam Iqua,Alaska,213,62.511,-164.8998
Bethel,Alaska,661,60.7928,-161.7917
Tuluksak,Alaska,373,61.105,-160.9493
Eek,Alaska,280,60.2164,-162.0331
Emmonak,Alaska,820,62.7762,-164.5157
Hooper Bay,Alaska,1200,61.5262,-166.1146
Chevak,Alaska,938,61.5295,-165.5941
Chefornak,Alaska,454,60.155,-164.255
Alakanuk,Alaska,570,62.6902,-164.6305
Bethel,Alaska,475,60.7928,-161.7917
Bethel,Alaska,224,60.7928,-161.7917
Bethel,Alaska,302,60.7928,-161.7917
Kipnuk,Alaska,639,59.9373,-164.0616
Aniak,Alaska,50,61.5817,-159.5451
Bethel,Alaska,67,60.7928,-161.7917
Bethel,Alaska,101,60.7928,-161.7917
Kongiganak,Alaska,547,59.9858,-162.8544
Atmautluak,Alaska,311,60.8622,-162.2858
Quinhagak,Alaska,724,59.7511,-161.8992
Platinum,Alaska,51,58.978,-161.7185
Bethel,Alaska,99,60.7928,-161.7917
Tuntutuliak,Alaska,350,60.3843,-162.6838
Bethel,Alaska,259,60.7928,-161.7917
Mekoryuk,Alaska,198,60.3704,-166.267
Kwigillingok,Alaska,400,59.8767,-163.1715
Nightmute,Alaska,243,60.4874,-164.8195
Aniak,Alaska,80,61.5817,-159.5451
Anchorage,Alaska,82,61.1508,-149.1091
Anchorage,Alaska,25,61.1508,-149.1091
Anchorage,Alaska,30,61.1508,-149.1091
Bethel,Alaska,1650,60.7928,-161.7917
Anchorage,Alaska,617,61.1508,-149.1091
Akiak,Alaska,346,60.9061,-161.2122
Chuathbaluk,Alaska,123,61.5746,-159.2489
Kwethluk,Alaska,760,60.7978,-161.4147
Akiachak,Alaska,627,60.921,-161.4021
Aniak,Alaska,50,61.5817,-159.5451
Kasigluk,Alaska,240,60.8785,-162.5272
Shageluk,Alaska,60,62.6684,-159.563
Grayling,Alaska,195,62.8998,-160.1078
Anchorage,Alaska,182,61.1508,-149.1091
Mcgrath,Alaska,341,62.9424,-155.563
Anvik,Alaska,96,62.6541,-160.214
Tatitlek,Alaska,95,60.8921,-146.6727
Glennallen,Alaska,39,62.1278,-145.7693
Glennallen,Alaska,25,62.1278,-145.7693
Glennallen,Alaska,396,62.1278,-145.7693
Copper Center,Alaska,236,61.9845,-145.3544
Anchorage,Alaska,50,61.1508,-149.1091
