City Name,State,lat,lng
Kokhanok,Alaska,59.4158,-154.7457
Dillingham,Alaska,59.055,-158.5378
King Salmon,Alaska,58.753,-156.5061
Mountain Village,Alaska,62.0911,-163.7209
Bethel,Alaska,60.7928,-161.7917
Saint Marys,Alaska,,
Scammon Bay,Alaska,61.842,-165.5833
Nunam Iqua,Alaska,62.511,-164.8998
Bethel,Alaska,60.7928,-161.7917
Tuluksak,Alaska,61.105,-160.9493
Eek,Alaska,60.2164,-162.0331
Emmonak,Alaska,62.7762,-164.5157
Hooper Bay,Alaska,61.5262,-166.1146
Chevak,Alaska,61.5295,-165.5941
Chefornak,Alaska,60.155,-164.255
Alakanuk,Alaska,62.6902,-164.6305
Bethel,Alaska,60.7928,-161.7917
Bethel,Alaska,60.7928,-161.7917
Bethel,Alaska,60.7928,-161.7917
Kipnuk,Alaska,59.9373,-164.0616
Aniak,Alaska,61.5817,-159.5451
Bethel,Alaska,60.7928,-161.7917
Bethel,Alaska,60.7928,-161.7917
Kongiganak,Alaska,59.9858,-162.8544
Atmautluak,Alaska,60.8622,-162.2858
Quinhagak,Alaska,59.7511,-161.8992
Platinum,Alaska,58.978,-161.7185
Bethel,Alaska,60.7928,-161.7917
Tuntutuliak,Alaska,60.3843,-162.6838
Bethel,Alaska,60.7928,-161.7917
Mekoryuk,Alaska,60.3704,-166.267
Kwigillingok,Alaska,59.8767,-163.1715
Nightmute,Alaska,60.4874,-164.8195
Aniak,Alaska,61.5817,-159.5451
Anchorage,Alaska,61.1508,-149.1091
Anchorage,Alaska,61.1508,-149.1091
Anchorage,Alaska,61.1508,-149.1091
Bethel,Alaska,60.7928,-161.7917
Anchorage,Alaska,61.1508,-149.1091
Akiak,Alaska,60.9061,-161.2122
Chuathbaluk,Alaska,61.5746,-159.2489
Kwethluk,Alaska,60.7978,-161.4147
Akiachak,Alaska,60.921,-161.4021
Aniak,Alaska,61.5817,-159.5451
Kasigluk,Alaska,60.8785,-162.5272
Shageluk,Alaska,62.6684,-159.563
Grayling,Alaska,62.8998,-160.1078
Anchorage,Alaska,61.1508,-149.1091
Mcgrath,Alaska,62.9424,-155.563
Anvik,Alaska,62.6541,-160.214
Tatitlek,Alaska,60.8921,-146.6727
Glennallen,Alaska,62.1278,-145.7693
Glennallen,Alaska,62.1278,-145.7693
Glennallen,Alaska,62.1278,-145.7693
Copper Center,Alaska,61.9845,-145.3544
Anchorage,Alaska,61.1508,-149.1091
Copper Center,Alaska,61.9845,-145.3544
Anchorage,Alaska,61.1508,-149.1091
Glennallen,Alaska,62.1278,-145.7693
Valdez,Alaska,61.0963,-146.2596
Glennallen,Alaska,62.1278,-145.7693
Chalkyitsik,Alaska,66.6469,-143.7821
Fairbanks,Alaska,64.8353,-147.6533
Arctic Village,Alaska,68.1421,-145.4956
Manley Hot Springs,Alaska,65.0187,-150.6453
Circle,Alaska,65.7936,-144.1813
Fairbanks,Alaska,64.8353,-147.6533
Fairbanks,Alaska,64.8353,-147.6533
Fairbanks,Alaska,64.8353,-147.6533
Fairbanks,Alaska,64.8353,-147.6533
Ester,Alaska,64.8646,-148.0916
Fairbanks,Alaska,64.8353,-147.6533
Fairbanks,Alaska,64.8353,-147.6533
Anchorage,Alaska,61.1508,-149.1091
Deadhorse,Alaska,70.1999496,-148.461816
Deadhorse,Alaska,70.1999496,-148.461816
Anchorage,Alaska,61.1508,-149.1091
Buckland,Alaska,65.9784,-161.1341
Little Diomede,Alaska,65.75478685,-168.92670957173902
Noatak,Alaska,67.5986,-163.0309
Golovin,Alaska,64.564,-162.9989
Deering,Alaska,66.0722,-162.7435
Teller,Alaska,65.2531,-166.342
St. Michael,Alaska,63.4664,-162.1324
Shungnak,Alaska,66.8805,-157.1499
Selawik,Alaska,66.5988,-159.9995
Shaktoolik,Alaska,64.3568,-161.1973
Shishmaref,Alaska,66.2372,-166.1027
Stebbins,Alaska,63.4705,-162.2599
White Mountain,Alaska,64.6812,-163.4228
Gambell,Alaska,63.7538,-171.6881
Kaltag,Alaska,64.3223,-158.7436
Ruby,Alaska,64.7233,-155.5005
Delta Junction,Alaska,64.0603,-145.7058
Delta Junction,Alaska,64.0603,-145.7058
Gulkana,Alaska,62.2155,-145.4449
Delta Jct.,Alaska,,
Tok,Alaska,63.329,-143.0379
Tetlin,Alaska,63.1481,-142.4947
Northway,Alaska,62.9709,-141.6173
Tok,Alaska,63.329,-143.0379
Prattville,Alabama,32.4597,-86.4573
Prattville,Alabama,32.4597,-86.4573
Fairhope,Alabama,30.5209,-87.8813
Robertsdale,Alabama,30.5535,-87.7023
Spanish Fort,Alabama,30.7254,-87.8597
Centre,Alabama,34.1537,-85.6689
Enterprise,Alabama,31.3275,-85.8463
Tuscumbia,Alabama,34.7204,-87.7035
Leighton,Alabama,34.6941,-87.5282
Tuscumbia,Alabama,34.7204,-87.7035
Andalusia,Alabama,31.3102,-86.4781
Ozark,Alabama,31.4508,-85.6473
Crossville,Alabama,34.2852,-85.9996
East Brewton,Alabama,31.0906,-87.0556
Flomaton,Alabama,31.0127,-87.2541
Gadsden,Alabama,34.0086,-86.0157
Red Bay,Alabama,34.4357,-88.1361
Ashford,Alabama,31.1858,-85.2359
Rainsville,Alabama,34.4938,-85.8436
Stevenson,Alabama,34.8487,-85.8437
Sulligent,Alabama,33.8912,-88.1266
Smiths Station,Alabama,32.528,-85.0943
Athens,Alabama,34.7843,-86.9503
Tuskegee,Alabama,32.4409,-85.7131
Madison,Alabama,34.7114,-86.7626
Demopolis,Alabama,32.498,-87.8298
Hamilton,Alabama,34.1346,-87.9755
Albertville,Alabama,34.2633,-86.2108
Douglas,Alabama,34.1705,-86.3224
Citronelle,Alabama,31.0952,-88.2467
Grand Bay,Alabama,30.4717,-88.345
Theodore,Alabama,30.5408,-88.1885
Mt. Vernon,Alabama,31.0851775,-88.0133325
Decatur,Alabama,34.5731,-86.9905
Aliceville,Alabama,33.1237,-88.1593
Carrollton,Alabama,33.2619,-88.0951
Reform,Alabama,33.3788,-88.0173
Phenix City,Alabama,32.4585,-85.0253
Phenix City,Alabama,32.4585,-85.0253
Pell City,Alabama,33.561,-86.2669
Munford,Alabama,33.5258,-85.9555
Chatom,Alabama,31.4691,-88.246
Camden,Alabama,32.0007,-87.2967
Ardmore,Alabama,34.9847,-86.8373
Fort Payne,Alabama,34.4559,-85.6965
Forkland,Alabama,32.6489,-87.8671
Cullman,Alabama,34.1775,-86.8407
Autaugaville,Alabama,32.432,-86.6578
Robertsdale,Alabama,30.5535,-87.7023
Cave City,Arkansas,35.9481,-91.5468
Mountain Home,Arkansas,36.3351,-92.384
Pago Pago,American Samoa,-14.2754786,-170.7048298
Pago Pago,American Samoa,-14.2754786,-170.7048298
Pago Pago,American Samoa,-14.2754786,-170.7048298
Greer,Arizona,34.0054,-109.4611
Springerville,Arizona,34.156,-109.2988
St. Johns,Arizona,34.5018,-109.3784
Benson,Arizona,31.9157,-110.3257
Sierra Vista,Arizona,31.563,-110.3153
Sierra Vista,Arizona,31.563,-110.3153
Pomerene,Arizona,31.999527,-110.286183
Douglas,Arizona,31.3602,-109.5394
Tucson,Arizona,32.1541,-110.8787
San Simon,Arizona,32.2682,-109.2302
Tombstone,Arizona,31.7234,-110.0798
Willcox,Arizona,32.2515,-109.8359
Douglas,Arizona,31.3602,-109.5394
Tucson,Arizona,32.1541,-110.8787
Sierra Vista,Arizona,31.563,-110.3153
Elgin,Arizona,31.6681,-110.5347
Sierra Vista,Arizona,31.563,-110.3153
Pearce,Arizona,31.9050865,-109.8206232
Dragoon,Arizona,32.0272,-110.0369
Sierra Vista,Arizona,31.563,-110.3153
Hereford,Arizona,31.4384325,-110.0978554
Hereford,Arizona,31.4384325,-110.0978554
Benson,Arizona,31.9157,-110.3257
Phoenix,Arizona,33.5722,-112.0892
Phoenix,Arizona,33.5722,-112.0892
Flagstaff,Arizona,35.1872,-111.6194
Cameron,Arizona,35.8537,-111.4269
Flagstaff,Arizona,35.1872,-111.6194
Phoenix,Arizona,33.5722,-112.0892
St. Louis,Arizona,,
Williams,Arizona,35.2476,-112.1834
Happy Jack,Arizona,34.7428521,-111.4093051
Mayer,Arizona,34.4233,-112.2408
Williams,Arizona,35.2476,-112.1834
Huntington Beach,Arizona,,
Flagstaff,Arizona,35.1872,-111.6194
Flagstaff,Arizona,35.1872,-111.6194
Grand Canyon,Arizona,36.0980405,-112.0962787
Page,Arizona,36.9426,-111.5071
St. Louis,Arizona,,
Globe,Arizona,33.387,-110.7513
Hayden,Arizona,32.9995,-110.7814
Pine,Arizona,34.3788,-111.4574
St. Louis,Arizona,,
Payson,Arizona,34.2433,-111.3195
Payson,Arizona,34.2433,-111.3195
Payson,Arizona,34.2433,-111.3195
Payson,Arizona,34.2433,-111.3195
St. Louis,Arizona,,
Payson,Arizona,34.2433,-111.3195
Tonto Basin,Arizona,33.837,-111.2999
Chandler,Arizona,33.2825,-111.8514
Pine,Arizona,34.3788,-111.4574
Beverly Hills,Arizona,34.582604567212016,-109.06111844115654
Roosevelt,Arizona,33.6618,-111.1295
Roosevelt,Arizona,33.6618,-111.1295
Thatcher,Arizona,32.8323,-109.7595
Safford,Arizona,32.8335,-109.6964
Morenci,Arizona,33.0539,-109.331
St. Louis,Arizona,,
Litchfield Park,Arizona,33.5024,-112.3588
